dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
20NG,body_only,qwen3-embedding:8b,2048,PCA,N/A,N/A,N/A,10,0.9584,0.9457,0.9387,0.9792,0.9596,0.9447,0.5398,0.5055,0.9544,0.5227,2.1816,0.1864,1.9952,1.41252744988077,0.7063
20NG,body_only,qwen3-embedding:8b,2048,PCA,N/A,N/A,N/A,50,0.9959,0.9904,0.9864,0.9968,0.9885,0.9788,0.652,0.5967,0.9895,0.62435,2.60440423361111,0.133310180277778,2.47109405333333,1.571971390749,0.786
20NG,body_only,qwen3-embedding:8b,2048,UMAP,30,N/A,N/A,5,0.9821,0.969,0.9595,0.9776,0.9579,0.9432,0.5457,0.5319,0.964883333333333,0.5388,2.26106356694444,0.181547006944444,2.07951656,1.44205289778149,0.721
20NG,body_only,qwen3-embedding:8b,2048,UMAP,30,N/A,N/A,10,0.9838,0.9703,0.9606,0.9778,0.9581,0.9436,0.5503,0.5351,0.9657,0.5427,2.2753,0.1789,2.0963,1.44787484265733,0.7239
20NG,body_only,qwen3-embedding:8b,2048,UMAP,30,N/A,N/A,50,0.9837,0.9704,0.9606,0.9778,0.9582,0.9439,0.5486,0.534,0.9658,0.5413,2.27124993777778,0.180171951111111,2.09107798666667,1.4460560109023,0.723
20NG,body_only,qwen3-embedding:8b,4096,PaCMAP,30,2,0.5,5,0.9603,0.9479,0.9408,0.9688,0.9454,0.9272,0.5387,0.5338,0.9484,0.5363,2.2042,0.1699,2.0343,1.42629520086131,0.7131
20NG,body_only,qwen3-embedding:8b,4096,PaCMAP,30,2,0.5,10,0.961,0.9483,0.9412,0.9688,0.9453,0.927,0.539,0.5341,0.9486,0.53655,2.2056705225,0.1697852025,2.03588532,1.42684453252623,0.7134
20NG,body_only,qwen3-embedding:8b,4096,PaCMAP,30,2,0.5,50,0.9609,0.9483,0.9412,0.9687,0.9452,0.9269,0.5374,0.5332,0.9485,0.5353,2.2018,0.1708,2.0310,1.4251314231794,0.7126
20NG,body_only,qwen3-embedding:8b,4096,PCA,N/A,N/A,N/A,5,0.9007,0.8928,0.8883,0.9611,0.9394,0.926,0.5019,0.4839,0.9181,0.4929,1.9908,0.1808,1.8100,1.34537258036575,0.6727
20NG,body_only,qwen3-embedding:8b,4096,PCA,N/A,N/A,N/A,10,0.9578,0.945,0.938,0.9788,0.9583,0.9423,0.5322,0.4993,0.953366666666667,0.5158,2.15830378027778,0.191508346944445,1.96679543333334,1.4024248405292,0.7012
20NG,body_only,qwen3-embedding:8b,4096,PCA,N/A,N/A,N/A,50,0.9959,0.9904,0.9863,0.9968,0.9885,0.9788,0.6508,0.5954,0.9895,0.6231,2.6003,0.1342,2.4661,1.57038376838275,0.7852
20NG,body_only,qwen3-embedding:8b,4096,UMAP,30,N/A,N/A,5,0.9814,0.9685,0.9591,0.9779,0.9589,0.9453,0.5503,0.538,0.9652,0.54415,2.27808711111111,0.177269067777777,2.10081804333333,1.44941989890209,0.7247
20NG,body_only,qwen3-embedding:8b,4096,UMAP,30,N/A,N/A,10,0.9832,0.9698,0.96,0.978,0.9591,0.9456,0.5493,0.5353,0.96595,0.5423,2.2748180625,0.1794793225,2.09533874,1.44752849367465,0.7238
20NG,body_only,qwen3-embedding:8b,4096,UMAP,30,N/A,N/A,50,0.9838,0.9702,0.9606,0.9779,0.959,0.9452,0.5504,0.5362,0.966116666666667,0.5433,2.27833867361111,0.178773933611111,2.09956474,1.44898748786868,0.7245
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,PaCMAP,30,2,0.5,5,0.8143,0.7923,0.7791,0.9509,0.9194,0.8988,0.3413,0.1785,0.8591,0.2599,1.2522,0.3591,0.8932,0.945068787619892,0.4725
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,PaCMAP,30,2,0.5,10,0.8177,0.794,0.7802,0.951,0.9195,0.8989,0.3398,0.1784,0.860216666666667,0.2591,1.25286980027778,0.361341246944445,0.891528553333335,0.944207897305109,0.4721
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,PaCMAP,30,2,0.5,50,0.8172,0.7938,0.7801,0.9509,0.9195,0.8989,0.3435,0.1784,0.8601,0.2610,1.2567,0.3589,0.8977,0.947490151224102,0.4737
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,PCA,N/A,N/A,N/A,5,0.7441,0.7508,0.7538,0.9442,0.9233,0.9109,0.689,0.5898,0.8379,0.6394,2.1822675625,0.0393824025,2.14288516,1.46385967906764,0.7319
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,PCA,N/A,N/A,N/A,10,0.8677,0.8604,0.8556,0.9754,0.9599,0.9496,0.7648,0.7056,0.9114,0.7352,2.7114,0.0311,2.6803,1.6371753561139,0.8186
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,PCA,N/A,N/A,N/A,50,0.9914,0.9853,0.9808,0.9984,0.9958,0.9935,0.9287,0.9201,0.9909,0.9244,3.6682,0.0044,3.6638,1.91411300258545,0.9571
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,UMAP,30,N/A,N/A,5,0.8377,0.7973,0.7779,0.9612,0.9254,0.9027,0.4029,0.1731,0.8670,0.2880,1.3341,0.3353,0.9988,0.99941102655514,0.4997
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,UMAP,30,N/A,N/A,10,0.846,0.804,0.7831,0.9618,0.9262,0.9035,0.4042,0.1745,0.870766666666667,0.2894,1.34587068027778,0.338045340277778,1.00782534,1.00390504531056,0.502
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,128,UMAP,30,N/A,N/A,50,0.8478,0.8043,0.783,0.9619,0.9263,0.9036,0.4052,0.1741,0.87115,0.2897,1.34745664,0.33814225,1.00931439,1.00464640048128,0.5023
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,256,PaCMAP,30,2,0.5,5,0.8023,0.7785,0.7638,0.9582,0.9286,0.9073,0.3089,0.141,0.8565,0.22495,1.16942596,0.39879225,0.77063371,0.877857454260087,0.4389
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,256,PaCMAP,30,2,0.5,10,0.8024,0.7786,0.7639,0.9582,0.9286,0.9073,0.306,0.141,0.8565,0.224,1.1664,0.400689,0.765711,0.875049141477209,0.4375
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,256,PaCMAP,30,2,0.5,50,0.8025,0.7786,0.764,0.9582,0.9286,0.9073,0.311,0.141,0.856533333333333,0.226,1.17187841777778,0.397572284444444,0.774306133333336,0.879946665050409,0.44
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,256,PCA,N/A,N/A,N/A,5,0.727,0.7337,0.7372,0.9492,0.9319,0.9214,0.691,0.6128,0.8334,0.6519,2.20611609,0.03294225,2.17317384,1.47416886414006,0.7371
20NG,body_only,sentence-transformers/all-MiniLM-L6-v2,256,PCA,N/A,N/A,N/A,10,0.8522,0.8458,0.842,0.9788,0.9666,0.958,0.77,0.7334,0.907233333333333,0.7517,2.75205980444444,0.0241906177777777,2.72786918666666,1.65162622486647,0.8258
