dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
SV,age_comment,allenai/longformer-base-4096,2048,PCA,N/A,N/A,N/A,10,0.9865,0.9831,0.9812,0.995,0.992,0.9903,0.9819,0.9662,0.988016666666667,0.9741,3.84970560444445,0.000195067777777787,3.84951053666667,1.9620169562638,0.981
SV,age_comment,allenai/longformer-base-4096,2048,PCA,N/A,N/A,N/A,50,0.9997,0.9994,0.9991,0.9998,0.9996,0.9995,0.9967,0.9929,0.9995,0.9948,3.9773,0.0000,3.9773,1.99431108907312,0.9972
SV,age_comment,allenai/longformer-base-4096,2048,UMAP,30,N/A,N/A,5,0.9656,0.9576,0.9532,0.9781,0.9641,0.9555,0.8007,0.8271,0.9624,0.8139,3.1551,0.0220,3.1330,1.77003577929939,0.885
SV,age_comment,allenai/longformer-base-4096,2048,UMAP,30,N/A,N/A,10,0.9712,0.9616,0.9566,0.9785,0.9643,0.9556,0.8022,0.8266,0.9646,0.8144,3.1650,0.0226,3.1424,1.77267863603832,0.8863
SV,age_comment,allenai/longformer-base-4096,2048,UMAP,30,N/A,N/A,50,0.9714,0.9618,0.9567,0.9785,0.9642,0.9555,0.8038,0.8259,0.9647,0.8149,3.1667,0.0225,3.1443,1.77321427263223,0.8866
SV,age_comment,allenai/longformer-base-4096,4096,PaCMAP,30,2,0.5,5,0.9465,0.9415,0.9387,0.9688,0.96,0.9551,0.8926,0.8641,0.951766666666667,0.8784,3.34932701361111,0.00539000694444449,3.34393700666667,1.82864348812629,0.9143
SV,age_comment,allenai/longformer-base-4096,4096,PaCMAP,30,2,0.5,10,0.9468,0.9416,0.9388,0.9689,0.96,0.9552,0.8927,0.8641,0.951883333333333,0.8784,3.34993708027778,0.00539980027777773,3.34453728,1.82880761153272,0.9144
SV,age_comment,allenai/longformer-base-4096,4096,PaCMAP,30,2,0.5,50,0.9469,0.9416,0.9388,0.9689,0.96,0.9552,0.8927,0.8641,0.9519,0.8784,3.34999809,0.00540225,3.34459584,1.82882362189469,0.9144
SV,age_comment,allenai/longformer-base-4096,4096,PCA,N/A,N/A,N/A,5,0.9537,0.9511,0.9497,0.9832,0.9774,0.9743,0.9711,0.949,0.9649,0.96005,3.7054325025,0.0000235225,3.70540898,1.92494389009134,0.9625
SV,age_comment,allenai/longformer-base-4096,4096,PCA,N/A,N/A,N/A,10,0.9865,0.9831,0.9812,0.995,0.992,0.9903,0.9819,0.9662,0.988016666666667,0.9741,3.84970560444445,0.000195067777777787,3.84951053666667,1.9620169562638,0.981
